id;Nr_Planu_Produkcji;Nr_Zlecenia_Produkcyjnego;NC12_wyrobu;Ilosc_wyrobu_zlecona;Data_Poczatku_Zlecenia;Data_Konca_Zlecenia;Komentarz;RankA;RankB;MRM;STATUS;Ilosc_wyr_dobrego;Ilosc_wyr_do_poprawy;Ilosc_wyr_na_zlom;DataCzasWydruku;DataCzasOeBS;CzyWydrukowane;CzyWOeBS;Opis_Wyrobu;Numer_Klienta;IloscKIT;IloscDiodNaWyrob;SMTSite;SMTDate;CCTznak;VfTypeCode;LiniaProdukcyjna
12;201709071;7094722;LLFMLK2-16M401A;10;2017-09-07 00:00:00.000;NULL;NULL;R5-J41-9A;R5-J32-9A;J-M-JR5R529A9A;2;117;0;0;2017-09-25 07:49:17.517;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7907;J;2;NULL
13;201709071;7094729;LLFMLK2-16M401A;117;2017-09-07 00:00:00.000;NULL;NULL;R5-J23-8B;R5-J14-8B;J-D-GR5R518B8B;0;117;0;0;2017-09-27 06:15:04.383;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7907;J;1;NULL
15;201709071;7094754;LLFMLK2-16M401A;117;2017-09-07 00:00:00.000;NULL;NULL;R5-J24-9A;R5-J31-9A;J-H-IR5R529A9A;2;117;0;0;2017-09-12 13:47:26.990;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7907;J;2;NULL
17;201709071;7094739;LLFMLK2-16M401A;117;2017-09-07 00:00:00.000;NULL;NULL;R5-J14-9A;R5-J23-9A;J-D-GR5R529A9A;0;117;0;0;2017-09-12 13:47:44.887;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7907;J;2;NULL
21;201709071;7094721;LLFMLK2-16M401A;117;2017-09-08 00:00:00.000;NULL;NULL;R5-J41-8B;R5-J14-8B-D;J-M-DR5R518B8B;0;117;0;0;NULL;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7908;J;1;NULL
22;201709071;7094736;LLFMLK2-16M401A;117;2017-09-08 00:00:00.000;NULL;NULL;R5-J41-8B;R5-J23-8B;J-M-GR5R518B8B;0;117;0;0;NULL;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7908;J;1;NULL
23;201709071;7094730;LLFMLK2-16M401A;117;2017-09-08 00:00:00.000;NULL;NULL;R5-J14-9A;R5-J32-9A;J-D-JR5R529A9A;0;117;0;0;NULL;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7908;J;2;NULL
24;201709071;7094760;LLFMLK2-16M401A;117;2017-09-08 00:00:00.000;NULL;NULL;R5-J32-9A-C;R5-J41-9A-D;J-J-MR5R529A9A;0;117;0;0;NULL;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7908;J;2;NULL
31;201709071;7094744;LLFMLK2-16M401A;117;2017-09-08 00:00:00.000;NULL;NULL;R5-J14-9A-C;R5-J23-9A-D;J-D-GR5R529A9A;0;117;0;0;NULL;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7908;J;2;NULL
34;201709071;7094735;LLFMLK2-16M401A;117;2017-09-08 00:00:00.000;NULL;NULL;R5-J14-9A-C;R5-J41-9A-D;J-D-MR5R529A9A;0;117;0;0;NULL;NULL;1;0;LLE G4 24x560mm 2400lm 840 2T ADV;28001492;6000;48;M;7908;J;2;NULL
