id;Nr_Planu_Produkcji;Nr_Zlecenia_Produkcyjnego;BrakLutowia;BrakKomponentu;ZabrudzonaDioda;UszkodzonaDioda;UszkodzonePCB;PrzesuniecieDiody;ZanieczyszczenieZpieca;Inne;DataCzas
316;1204922;1205757;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
383;1205771;1205842;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
355;1205771;1205814;0;0;0;1;0;0;0;1;2017-09-29 09:35:00
285;1204922;1205010;0;0;0;2;0;0;0;0;2017-09-29 09:35:00
389;1205771;1205848;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
425;1205771;1206750;0;0;3;0;0;0;0;0;2017-09-29 09:35:00
380;1205771;1205839;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
394;1205771;1205853;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
391;1205771;1205850;0;0;1;1;0;0;0;0;2017-09-29 09:35:00
127;201709111;1204781;0;0;3;0;0;0;0;0;2017-09-29 09:35:00
442;1205771;1206776;0;0;1;0;0;0;0;0;2017-09-29 09:35:00
443;1205771;1206777;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
444;1205771;1206778;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
402;1205771;1205861;0;0;0;4;0;0;0;0;2017-09-29 09:35:00
446;1205771;1206780;0;0;1;0;0;0;0;0;2017-09-29 09:35:00
400;1205771;1205859;0;1;0;0;0;0;0;0;2017-09-29 09:35:00
422;1205771;1206747;0;0;0;1;0;0;0;0;2017-09-29 09:35:00
423;1205771;1206748;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
483;1206762;1206830;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
436;1205771;1206768;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
481;1206762;1206828;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
435;1205771;1206763;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
429;1205771;1206754;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
434;1205771;1206761;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
490;1206762;1206838;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
433;1205771;1206759;0;0;0;0;0;1;1;1;2017-09-29 09:35:00
508;1206762;1206856;0;0;0;0;0;1;1;1;2017-09-29 09:35:00
500;1206762;1206848;0;0;0;0;0;1;1;1;2017-09-29 09:35:00
403;1205771;1205862;0;0;0;0;0;1;1;1;2017-09-29 09:35:00
448;1206762;1206782;0;0;0;0;0;1;1;1;2017-09-29 09:35:00
451;1206762;1206785;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
427;1205771;1206752;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
445;1205771;1206779;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
486;1206762;1206834;0;0;0;0;0;0;0;1;2017-09-29 09:35:00
519;1206762;1206867;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
523;1206762;1206871;0;0;0;0;0;1;1;1;2017-09-29 09:35:00
506;1206762;1206854;0;0;0;1;0;0;0;0;2017-09-29 09:35:00
511;1206762;1206859;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
525;1206762;1206873;0;0;0;0;0;0;0;0;2017-09-29 09:35:00
493;1206762;1206842;0;0;0;0;1;0;0;0;2017-09-29 09:35:00
498;1206762;1206846;0;0;1;0;0;1;0;0;2017-09-29 09:35:00
447;1205771;1206781;0;0;1;0;0;0;0;0;2017-09-29 09:35:00
478;1206762;1206824;1;0;1;0;0;0;0;0;2017-09-29 09:35:00
