Nr_Zlecenia_Produkcyjnego;BrakLutowia;BrakKomponentu;ZabrudzonaDioda;UszkodzonaDioda;UszkodzonePCB;PrzesuniecieDiody;ZanieczyszczenieZpieca;Inne;DataCzas
1206886;0;1;0;0;0;0;0;0;01.10.2017 01:36:00
1206882;0;0;0;0;0;0;0;0;01.10.2017 01:37:00
1205835;0;0;0;0;0;0;0;0;01.10.2017 01:51:00
1205003;0;0;0;0;0;0;0;0;01.10.2017 01:51:00
1206896;0;0;0;0;0;0;0;0;01.10.2017 02:31:00
1206862;0;0;0;0;0;0;0;0;01.10.2017 02:32:00
1205824;0;0;0;0;0;0;0;0;01.10.2017 02:41:00
1206885;0;0;0;0;0;0;0;0;01.10.2017 02:41:00
1204901;0;0;0;0;0;0;0;0;01.10.2017 22:53:00
1204990;0;0;0;0;0;0;0;0;01.10.2017 22:54:00
1205807;0;0;0;0;0;0;0;0;01.10.2017 23:00:00
1204875;0;0;0;0;0;0;0;0;01.10.2017 23:01:00
1204869;0;0;0;0;0;0;0;0;01.10.2017 23:05:00
1204858;0;0;0;0;0;0;0;0;02.10.2017 06:29:00
1204870;0;0;0;0;0;0;0;0;02.10.2017 06:39:00
1204877;0;0;0;0;0;0;0;0;02.10.2017 07:13:00
1204865;0;0;0;0;0;0;0;0;02.10.2017 07:25:00
1211467;0;0;0;0;0;0;0;0;02.10.2017 07:53:00
1211472;0;0;2;4;3;0;0;1;02.10.2017 13:39:00
1211469;0;0;0;0;0;0;0;0;02.10.2017 17:28:00
1211465;0;0;0;0;3;0;1;0;02.10.2017 17:59:00
1210996;0;0;2;0;1;0;0;0;02.10.2017 19:00:00
1210995;0;0;0;0;1;0;0;5;02.10.2017 20:00:00
1210994;0;0;0;0;0;0;0;3;02.10.2017 20:28:00
1211471;0;0;0;0;2;0;0;1;02.10.2017 22:21:00
1211466;0;0;0;0;0;0;2;1;02.10.2017 22:56:00
1210992;0;0;0;0;0;0;0;0;02.10.2017 23:21:00
1204754;0;0;1;0;0;0;0;0;03.10.2017 00:02:00
1206835;0;0;0;0;0;0;0;0;03.10.2017 00:07:00
1210425;0;0;1;0;0;0;0;3;03.10.2017 00:38:00
1209410;0;0;4;0;0;0;0;0;03.10.2017 00:48:00
1204885;0;0;0;2;0;0;0;0;03.10.2017 01:29:00
1204755;0;0;1;0;0;0;0;1;03.10.2017 01:40:00
1205843;0;0;0;0;0;0;0;0;03.10.2017 01:42:00
1204834;0;0;0;0;0;0;0;0;03.10.2017 03:28:00
1210993;0;0;1;0;2;0;0;0;03.10.2017 04:01:00
1206897;0;0;0;0;0;0;0;0;03.10.2017 04:30:00
1210932;0;0;0;0;4;0;0;0;03.10.2017 06:09:00
1211468;0;0;1;0;4;0;1;0;03.10.2017 08:05:00
1210928;0;0;0;0;0;0;1;0;03.10.2017 08:42:00
1210934;0;0;0;0;3;0;0;1;03.10.2017 09:03:00
1210936;0;0;0;0;4;0;3;0;03.10.2017 11:11:00
1207854;0;0;1;0;0;0;0;0;03.10.2017 11:59:00
1207805;0;0;0;0;0;0;0;2;03.10.2017 13:35:00
1207860;0;0;0;0;0;0;0;0;03.10.2017 13:44:00
1207853;0;0;0;0;0;0;0;1;03.10.2017 14:17:00
1207783;0;1;0;0;0;0;0;0;03.10.2017 14:22:00
1207851;0;0;0;0;0;0;0;0;03.10.2017 14:29:00
1210742;0;0;0;0;0;1;0;0;03.10.2017 15:07:00
1210766;0;0;0;4;0;0;0;0;03.10.2017 16:04:00
1210780;0;0;0;0;0;0;0;0;03.10.2017 16:27:00
1207857;0;0;1;0;0;0;0;0;03.10.2017 16:55:00
1210740;0;0;0;0;0;0;0;0;03.10.2017 17:13:00
1210733;0;0;1;0;0;0;0;0;03.10.2017 19:19:00
1210778;0;0;0;0;0;0;0;0;03.10.2017 19:40:00
1210767;0;1;1;0;0;1;0;0;03.10.2017 22:35:00
1208379;0;0;0;0;0;0;0;0;03.10.2017 23:15:00
1206773;0;0;0;0;0;0;0;0;01.10.2017 00:11:00
1206872;0;0;0;0;0;0;0;0;01.10.2017 00:13:00
1206864;0;0;1;0;0;0;0;0;01.10.2017 00:14:00
1206900;0;0;0;0;0;0;0;0;01.10.2017 00:38:00
1205018;0;0;0;0;0;0;0;0;01.10.2017 00:39:00
1206875;0;0;1;0;0;0;0;0;01.10.2017 03:08:00
1204970;0;0;0;0;0;0;0;0;01.10.2017 03:08:00
1206881;0;0;2;1;0;0;0;0;01.10.2017 03:14:00
1206895;0;0;0;0;0;0;0;0;01.10.2017 03:15:00
1206891;0;0;1;0;0;0;0;0;01.10.2017 03:33:00
1206769;0;0;0;0;0;0;0;0;01.10.2017 04:28:00
1204978;0;0;0;0;0;0;0;0;01.10.2017 22:27:00
1205816;0;0;0;0;0;0;0;0;01.10.2017 22:28:00
1204980;0;0;0;0;0;0;0;1;01.10.2017 22:36:00
1204903;0;0;1;0;0;0;0;0;01.10.2017 22:41:00
1204835;0;0;0;0;0;0;0;0;02.10.2017 01:32:00
1204841;0;0;0;0;0;0;0;0;02.10.2017 01:34:00
1204811;0;0;0;0;0;0;0;0;02.10.2017 01:38:00
