Last synchro: 03.11.2017 09:02:27
Nr_Zlecenia_Produkcyjnego;BrakLutowia;BrakKomponentu;ZabrudzonaDioda;UszkodzonaDioda;UszkodzonePCB;PrzesuniecieDiody;ZanieczyszczenieZpieca;Inne;DataCzas
1205757;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205842;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205814;0;0;0;1;0;0;0;1;29.09.2017 09:35:00
1205010;0;0;0;2;0;0;0;0;29.09.2017 09:35:00
1205848;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206750;0;0;3;0;0;0;0;0;29.09.2017 09:35:00
1205839;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205853;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205850;0;0;1;1;0;0;0;0;29.09.2017 09:35:00
1204781;0;0;3;0;0;0;0;0;29.09.2017 09:35:00
1206776;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206777;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206778;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205861;0;0;0;4;0;0;0;0;29.09.2017 09:35:00
1206780;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1205859;0;1;0;0;0;0;0;0;29.09.2017 09:35:00
1206747;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
1206748;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206830;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206768;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206828;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206763;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206754;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206761;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206838;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206759;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1206856;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1206848;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1205862;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1206782;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1206785;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206752;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206779;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206834;0;0;0;0;0;0;0;1;29.09.2017 09:35:00
1206867;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206871;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206854;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
1206859;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206873;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206842;0;0;0;0;1;0;0;0;29.09.2017 09:35:00
1206846;0;0;1;0;0;1;0;0;29.09.2017 09:35:00
1206781;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206824;1;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206845;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206869;0;0;0;0;0;1;0;0;29.09.2017 09:35:00
1206843;0;0;1;1;0;0;0;0;29.09.2017 09:35:00
1206883;0;0;0;0;0;0;0;2;29.09.2017 09:35:00
1206880;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1206868;0;0;3;0;0;0;0;0;29.09.2017 09:35:00
1206884;0;0;3;0;0;0;0;0;29.09.2017 09:35:00
1205857;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206893;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206890;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206839;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1206863;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206925;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206849;0;0;3;0;1;0;0;0;29.09.2017 09:35:00
1206841;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206833;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205744;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205786;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1205756;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205763;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205820;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205815;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205751;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
1205760;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205790;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205875;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205863;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205876;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205870;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205791;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206851;0;1;0;0;0;0;0;0;29.09.2017 09:35:00
1206855;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205865;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205762;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206836;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206933;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1205758;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205802;0;0;3;1;0;0;0;0;29.09.2017 09:35:00
1204981;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206837;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205871;0;1;1;1;0;1;0;0;29.09.2017 09:35:00
1206929;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1205860;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206853;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206827;0;0;1;1;0;0;0;0;29.09.2017 09:35:00
1205761;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205789;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1205799;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1204843;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206832;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207836;1;2;0;0;0;1;0;1;29.09.2017 09:35:00
1207838;0;0;1;0;0;1;0;0;29.09.2017 09:35:00
1207828;0;0;3;0;0;0;0;0;29.09.2017 09:35:00
1207848;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207873;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207874;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207843;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207872;0;0;0;0;0;0;0;1;29.09.2017 09:35:00
1207871;0;0;2;0;0;0;1;2;29.09.2017 09:35:00
1207878;0;0;3;0;1;0;0;0;29.09.2017 09:35:00
1207840;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207839;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207799;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207898;0;0;1;0;0;0;0;2;29.09.2017 09:35:00
1207844;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207821;4;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207845;3;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207884;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207806;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207778;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207879;5;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205747;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206899;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206909;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206906;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206829;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207820;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207826;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207829;0;0;1;1;1;0;0;0;29.09.2017 09:35:00
1207831;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207841;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207880;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207882;0;0;0;0;0;0;0;1;29.09.2017 09:35:00
1207842;0;0;0;0;0;1;1;1;29.09.2017 09:35:00
1207875;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207877;2;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207771;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207754;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206877;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207900;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207911;4;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207830;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207757;1;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207746;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207912;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207812;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207782;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207779;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208022;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208000;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208004;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208021;0;13;0;0;0;0;0;2;29.09.2017 09:35:00
1207921;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208020;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207892;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207915;0;0;1;0;0;1;0;0;29.09.2017 09:35:00
1208001;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206915;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207982;0;0;0;2;0;1;0;0;29.09.2017 09:35:00
1207773;0;0;0;0;0;1;0;0;29.09.2017 09:35:00
1207933;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207816;0;0;0;0;0;7;0;0;29.09.2017 09:35:00
1207776;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207772;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207927;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207942;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207945;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207940;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207996;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207931;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207934;0;0;0;1;0;0;0;1;29.09.2017 09:35:00
1207817;1;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207935;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207954;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207966;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207992;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207943;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207965;0;0;0;0;0;0;0;3;29.09.2017 09:35:00
1207926;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207980;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207899;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207897;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207990;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207932;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207995;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207977;0;0;2;1;0;0;0;0;29.09.2017 09:35:00
1207973;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207901;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207913;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207910;0;0;0;0;0;0;0;1;29.09.2017 09:35:00
1207908;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208025;0;0;0;1;0;0;0;0;29.09.2017 09:35:00
1208084;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207999;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207907;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1207985;0;0;3;0;0;0;0;0;29.09.2017 09:35:00
1207989;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208086;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207889;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
